objectid,title,creator,specific_date,date,description,subject,location,latitude,longitude,source,identifier,type,specific_format,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,finding_aid,visibility,extent
rv042x51f,Second Community Artist Series,Music Department of the Monday Club,1929-03-13,1929-03-13,"Flier program for the Second Community Artist Series, presented by the Music Department of the Monday Club featuring Mina Hager, Mezz-Contralto, March 13, 1929",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 36 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-c-01-36-01,Text,Document,image/jpeg,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/ea576d7e522a9d4bb469dd720e711d7f7744ae9c/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/ea576d7e522a9d4bb469dd720e711d7f7744ae9c/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/ea576d7e522a9d4bb469dd720e711d7f7744ae9c/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
qv33s148h,Clubhouse 50th Anniversary,Monday Club,1983-05-22,1983-05-22,"Program, May 22, 1983. Lists Monday Club history, accomplishments",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 37 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-c-01-37-01,Text,Document,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/9019s6278,,https://archives.calstate.edu/downloads/9019s6278?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
pr76f676k,"Street Cleaners, The Monday Club",The Monday Club^^author,,,A poem or song titled 'Street Cleaners.',,,,,"MS0002-- BOX 1-- FOLDER 38-- Series: Monday Club Papers - Programs Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-c-01-38-01,Text,Song,image/jpeg,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/55bf148432d3ecccfdd60c423dbad6e15653a9b6/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/55bf148432d3ecccfdd60c423dbad6e15653a9b6/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/55bf148432d3ecccfdd60c423dbad6e15653a9b6/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
rn3015245,Where Yesterdays Look Backward with a Smile,,,,Typescript of poems to accompany music,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 38 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-c-01-38-02,Text,Document,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/gf06g659j,,https://archives.calstate.edu/downloads/gf06g659j?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
r781wk740,"Address Given by Miss Grace Barneberg at the Convention of the California Federation of Women's Clubs, at Riverside, May 9, 1934",Grace E. Barneberg,1934-05-09,1934-05-09,"Speech regarding the establishment of a women's prison at Brite Ranch, Tehachapi",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 39 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-d-01-39-01,Text,Document,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/mp48sh74c,,https://archives.calstate.edu/downloads/mp48sh74c?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
x059cc33d,Pundita Rumabai,Grace E. Barneberg,,,"Typescript of essay with notes, undated. About Pundita Ramabai, author of ""The High-caste Hindu Woman"", her life, and the author's experience meeting her.",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 40 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-d-01-40-01,Text,Document,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/bg257k00x,,https://archives.calstate.edu/downloads/bg257k00x?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
8049g9227,[Motion to Establish Mitchell Park],,1927-02-19,1927-02-19,"Collection of city council and school board documents regarding creation of Mitchell Park in San Luis Obispo, California, including budget and proposal for financing the park.",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 41 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-e-01-41-01,Text,Document,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/4x51hn94f,,https://archives.calstate.edu/downloads/4x51hn94f?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
9c67wr779,Lease between City of San Luis Obispo and the Board of Trustees of San Luis Obispo School District,,1905-04-10,1905-04-10,Contract agreement for the establishment of Mitchell Park in San Luis Obispo.,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 41-- Series: Monday Club Papers - Mitchell Park Square, San Luis Obispo Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-e-01-41-02,Text,Lease,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/pv63g4248,,https://archives.calstate.edu/downloads/pv63g4248?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
qr46r461t,Lease between City of San Luis Obispo and the Board of Trustees of San Luis Obispo School District,,1905-04-10,1905-04-10,Contract agreement for the establishment of Mitchell Park in San Luis Obispo.,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 41-- Series: Monday Club Papers - Mitchell Park Square, San Luis Obispo Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-e-01-41-02,Text,Lease,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,,#N/A,,#N/A,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
4b29b916r,"[Empty Envelope with the word ""Park""]",,,,,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 41 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-e-01-41-03,Text,Document,image/jpeg,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/6ec2a10288af3aab2493cdc2f770984663c88b06/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/6ec2a10288af3aab2493cdc2f770984663c88b06/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/6ec2a10288af3aab2493cdc2f770984663c88b06/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
df65vc295,[Empty Envelope with notes],,,,,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 41 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-e-01-41-04,Text,Document,image/jpeg,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/114ff2a511d184d89bdfc6db952b656fef21a779/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/114ff2a511d184d89bdfc6db952b656fef21a779/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/114ff2a511d184d89bdfc6db952b656fef21a779/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
fn107275j,"Correspondence Shepard to Latimer, October 25, 1927",H. W. Shepherd,1927-10-25,1927-10-25,"Letter, October 25, 1927",,"Berkeley, California, United States",,,"MS0002-- BOX 1-- FOLDER 42 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-e-01-42-01,Text,Letter,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/wm117s591,,https://archives.calstate.edu/downloads/wm117s591?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
tm70mz65h,"Letter from Shepherd to Barneberg, March 10, 1927",H. W. Shepherd^^author,1927-03-10,1927-03-10,,,"Berkeley, California, United States",,,"MS0002-- BOX 1-- FOLDER 42-- Series: Monday Club Papers - Mitchell Park Square, San Luis Obispo Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-e-01-42-02,Text,Letter,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/pc289n873,,https://archives.calstate.edu/downloads/pc289n873?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
3n204290w,[Testimony for Mitchell Park],,,,Collection of telegraphs,,"California, United States",,,"MS0002-- BOX 1-- FOLDER 42 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-e-01-42-03,Text,Letter,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/0g354j93z,,https://archives.calstate.edu/downloads/0g354j93z?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
pv63g416k,"The Nation May 14, 1924",,,,Articles,,"New York, United States",,,"MS0002-- BOX 1-- FOLDER 42 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-e-01-42-04,Text,Document,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/v118rj36m,,https://archives.calstate.edu/downloads/v118rj36m?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
pr76f7373,Report on Proposed Site for Park Square,,1905-04-11,1905-04-11,"Mitchell Park Report, undated",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 43 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-e-01-43-01,Text,Report,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/8910jz39r,,https://archives.calstate.edu/downloads/8910jz39r?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
2801pm237,[Groundbreaking Monday Club],,,,"Mrs. Jane L.T. Kurtwright, Grace E. Barneberg, and James Jepson, Contractor",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 44 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-f-01-44-01,Image,Photographic print,image/jpeg,,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/791abd7f46dd15be8c037ca34c9cb866d5ded471/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/791abd7f46dd15be8c037ca34c9cb866d5ded471/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/791abd7f46dd15be8c037ca34c9cb866d5ded471/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
g445ch53w,"The Monday Club, San Luis Obispo",,,,Hand Drawing copy on photo paper,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 45 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-f-01-45-01,Image,Illustration,image/jpeg,,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/6ed0dc352f03c27811f1eeb9b4c8c203c2b4a3c4/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/6ed0dc352f03c27811f1eeb9b4c8c203c2b4a3c4/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/6ed0dc352f03c27811f1eeb9b4c8c203c2b4a3c4/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
t148fm81k,"[Monday Club exterior with list of names], 1934",,1934-04-13,1934-04-13,"A photo of the exterior of the Monday Club in 1934, prior to the landscaping. On the back of the photograph, it references a luncheon on April 13, 1934 with a list of the following names: Bernice Masengill Elisabeth C. Law Winifred S. Dairs [?] Mary Edna Kaufman Jane A. Curtright [?] Mabel M. Dunne Madge Knickerbocker M. [ill.] Throop Virginia Sydney Burton Chita [?] S. Ranson Edna Weir Olga A. Onstad Margaret B. Cooper",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 45-- Series: Monday Club Papers - Photographs, Monday Club Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-f-01-45-02,Text,Photographic print,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/r781wk758,,https://archives.calstate.edu/downloads/r781wk758?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
x920g108k,"Monday Club, San Luis Obispo",,circa 1934,1934,"Exterior photograph of the Monday Club, designed by architect Julia Morgan. 1815 Monterey Street, San Luis Obispo",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 45-- Series: Monday Club Papers - Photographs, Monday Club Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-f-01-45-03,Image,Photographic print,image/jpeg,,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/3b7b198b29a02c33a056016bfe6d3f83076ef648/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/3b7b198b29a02c33a056016bfe6d3f83076ef648/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/3b7b198b29a02c33a056016bfe6d3f83076ef648/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
4b29b9171,"Monday Club, interior",,,,"Photograph of interior of Monday Club, designed by architect Julia Morgan. Loquat murals on walls by San Francisco painter Doris Day. Chinese lanterns hanging. Women seated at tables. 1815 Monterey Street, San Luis Obispo.",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 46-- Series: Monday Club Papers - Photographs, Monday Club Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-f-01-46-01,Image,Photographic print,image/jpeg,,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/9127dffb456e659f84325eca5b3df3ee0d7c32be/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/9127dffb456e659f84325eca5b3df3ee0d7c32be/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/9127dffb456e659f84325eca5b3df3ee0d7c32be/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
k930c147h,[Women seated in Monday Club] [front and back],,circa 1940,1940,"Seated on left: Mae Louis Watson (daughter of Ah Louis), identified as ""Billy's Mother"" Third from left: Stella Louis (married Young Louis, son of Ah Louis) also the back of the photo identifies: Mrs. Louis Purrerra [sp?], identified as Louis Mother",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 46 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-f-01-46-02,Image,Photographic print,image/jpeg,,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/fddef7e475418a980fd9fab4d1bb1a3d174b0882/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/fddef7e475418a980fd9fab4d1bb1a3d174b0882/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/fddef7e475418a980fd9fab4d1bb1a3d174b0882/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
fn107214t,Monday Club Members,,,,Photograph,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 46 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-f-01-46-03,Image,Photographic print,image/jpeg,,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/052ae8693af4e9d4f0cc4d119ddee8ad5979e9ee/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/052ae8693af4e9d4f0cc4d119ddee8ad5979e9ee/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/052ae8693af4e9d4f0cc4d119ddee8ad5979e9ee/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
8s45qd932,115 V-Gen Moving Tank South City Limits [front and back],,,,Lower Higuera Signage. The Monday Club of San Luis Obispo paid for this sign over lower Higuera in 1926. it was removed when the street was widened and stored in the Monday Club basement. May have been destroyed in 1983.,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 47 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-f-01-47-01,Image,Photographic print,image/jpeg,,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/05fdc9100c3432d77a5410fc14528c7c825c2545/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/05fdc9100c3432d77a5410fc14528c7c825c2545/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/05fdc9100c3432d77a5410fc14528c7c825c2545/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
